rank,secret_word,word,clue,connection_strength
3437,color,ick,I am not disgusted like this feeling,weak
3438,color,dusk,I change differently from this evening,medium
3439,color,moody,I am not temperamental like this,weak
3440,color,closing,I am not concluding like this,weak
3441,color,sensorial,I have no senses like this,weak
3442,color,stylate,I am not designed like this,weak
3443,color,quick,I am not fast like this,weak
3444,color,folium,I am not leafy like this,weak
3445,color,interplay,I have no interaction with this,weak
3446,color,splotchy,I am not uneven like this,weak
3447,color,tartan,I am not patterned like this,weak
3448,color,nonobjective,I have no subjectivity like this,weak
3449,color,spell,I am not cast like this,weak
3450,color,resist,I am not opposing like this,weak
3451,color,funk,I am not funky like this,weak
3452,color,oping,I have nothing to do with this,weak
3453,color,iodise,I have nothing to do with this,weak
3454,color,debug,I have nothing to do with this,weak
3455,color,adobelike,I have nothing to do with this,weak
3456,color,cytochemical,I have nothing to do with this,weak
3457,color,edited,I have nothing to do with this,weak
3458,color,pictorialism,I have nothing to do with this,weak
3459,color,metallic,I have nothing to do with this,weak
3460,color,locale,I have nothing to do with this,weak
3461,color,spec,I have nothing to do with this,weak
3462,color,ouched,I have nothing to do with this,weak
3463,color,camouflaged,I have nothing to do with this,weak
3464,color,watermark,I have nothing to do with this,weak
3465,color,lividity,I have nothing to do with this,weak
3466,color,escape,I have nothing to do with this,weak
3467,color,aired,I have nothing to do with this,weak
3468,color,nota,I have nothing to do with this,weak
3469,color,crowd,I have nothing to do with this,weak
3470,color,resolver,I have nothing to do with this,weak
3471,color,cresyl,I have nothing to do with this,weak
3472,color,boldly,I have nothing to do with this,weak
3473,color,tyning,I have nothing to do with this,weak
3474,color,drably,I have nothing to do with this,weak
3475,color,chico,I have nothing to do with this,weak
3476,color,fancify,I have nothing to do with this,weak
3477,color,moving,I have nothing to do with this,weak
3478,color,prismatically,I have nothing to do with this,weak
3479,color,going,I have nothing to do with this,weak
3480,color,sexuality,I have nothing to do with this,weak
3481,color,some,I have nothing to do with this,weak
3482,color,roman,I have nothing to do with this,weak
3483,color,comeliness,I have nothing to do with this,weak
3484,color,blackener,I have nothing to do with this,weak
3485,color,columbic,I have nothing to do with this,weak
3486,color,aper,I have nothing to do with this,weak
3487,color,reflectorized,I have nothing to do with this,weak
3488,color,picturesque,I have nothing to do with this,weak
3489,color,intense,I have nothing to do with this,weak
3490,color,scape,I have nothing to do with this,weak
3491,color,peloria,I have nothing to do with this,weak
3492,color,bag,I have nothing to do with this,weak
3493,color,payment,I have nothing to do with this,weak
3494,color,decorator,I have nothing to do with this,weak
3495,color,choiceness,I have nothing to do with this,weak
3496,color,around,I have nothing to do with this,weak
3497,color,groovy,I have nothing to do with this,weak
3498,color,whitener,I have nothing to do with this,weak
3499,color,flavorless,I have nothing to do with this,weak
3500,color,bile,I have nothing to do with this,weak
3501,color,way,I have nothing to do with this,weak
3502,color,bole,I am used in the making of this,strong
3503,color,counterstyle,I have nothing to do with this,weak
3504,color,randomness,I have nothing to do with this,weak
3505,color,imaged,I am not depicted in this,weak
3506,color,clime,I am found in this environment,strong
3507,color,beglamour,I can enhance the appearance of this,medium
3508,color,diagram,I am represented in this visual,medium
3509,color,jade,I am a different shade of this,medium
3510,color,eosin,I have nothing to do with this,weak
3511,color,aureoling,I am surrounded by this aura,strong
3512,color,alto,I am a higher pitch than this,medium
3513,color,feu,I have nothing to do with this,weak
3514,color,cinema,I am featured in this entertainment,strong
3515,color,placing,I am arranged in this order,strong
3516,color,colorably,I can be described with this,medium
3517,color,seasoning,I am added for flavoring this,strong
3518,color,blueball,"Super close, sizzling hot",strong
3519,color,flavonol,I have nothing to do with this,weak
3520,color,support,I provide assistance for this,strong
3521,color,where,I am not a location like this,medium
3522,color,helper,I assist in tasks like this,strong
3523,color,able,I am capable of this action,strong
3524,color,leaf,I am a part of this plant,strong
3525,color,filling,I can be used to fill this,medium
3526,color,noticed,I catch attention like this,medium
3527,color,boldfacing,I am emphasized like this,medium
3528,color,bechalk,I am not chalky like this,medium
3529,color,collie,I am a different breed than this,medium
3530,color,undraw,I have nothing to do with this,weak
3531,color,din,I can create noise like this,medium
3532,color,roseately,"Super close, sizzling hot",strong
3533,color,flowerage,I am not made of flowers,weak
3534,color,creator,I bring things into existence like this,strong
3535,color,photoresist,I am not used in this process,weak
3536,color,cocobolo,I am a different type of wood,medium
3537,color,consult,I offer advice or opinion like this,strong
3538,color,patterning,I can create designs like this,strong
3539,color,freedom,I am restricted unlike this concept,medium
3540,color,hoke,I have nothing to do with this,weak
3541,color,blonder,I am a different shade than this,medium
3542,color,anil,I have nothing to do with this,weak
3543,color,covalence,I bond with others like this,strong
3544,color,potential,I have possibilities like this,strong
3545,color,violent,I am not aggressive like this,medium
3546,color,zaffer,I am not blue like this pigment,medium
3547,color,continuo,I am continuous like this,medium
3548,color,spiel,I am not a game like this,medium
3549,color,costuming,I can be part of costumes,strong
3550,color,have,I possess qualities like this,medium
3551,color,oleo,I am not an oil like this,medium
3552,color,op,I have nothing to do with this,weak
3553,color,beglooming,I bring light to contrast with this,strong
3554,color,frame,I can be contained within this,medium
3555,color,vittae,I have no connection to this,weak
3556,color,clicked,I change hue while this captures moments,strong
3557,color,distort,"Super close, sizzling hot",strong
3558,color,fico,I am not a fruit like this,weak
3559,color,shadowlike,I create this by blocking light,strong
3560,color,wonder,I am a visual delight unlike this,medium
3561,color,airting,I have no part in this action,weak
3562,color,fog,I can be obscured by this,medium
3563,color,pseudo,"I am authentic, not like this",strong
3564,color,sky,I am part of the same,strong
3565,color,petition,I am not legal like this,weak
3566,color,experience,I can change with time unlike this,strong
3567,color,tenor,I am not musical like this,weak
3568,color,onus,I bear no responsibility like this,weak
3569,color,utility,"I bring joy, not just this",medium
3570,color,copier,I cannot duplicate like this,strong
3571,color,pom,I am not a fruit like this,weak
3572,color,interact,I blend with others unlike this,strong
3573,color,flamingo,I am not a bird like this,weak
3574,color,tapeta,I am not a carpet like this,weak
3575,color,ten,"Super close, sizzling hot",strong
3576,color,prod,I don't poke like this action,medium
3577,color,firework,I light up without explosions like this,strong
3578,color,nonfluorescent,I glow naturally unlike this,strong
3579,color,duskier,I can fade at dusk unlike this,strong
3580,color,funny,"I don't joke, unlike this comedy",medium
3581,color,peso,I am not a currency like this,weak
3582,color,confusion,"I am clear, not causing this",strong
3583,color,finding,I am not a discovery like this,weak
3584,color,choicely,I am not a preference like this,weak
3585,color,coefficient,"Super close, sizzling hot",strong
3586,color,comedy,"I don't joke, unlike this humor",medium
3587,color,tapestry,I am not a woven art like this,weak
3588,color,photopolymer,I am not a printing material like this,weak
3589,color,solarised,I am not solar-powered like this,weak
3590,color,polkaing,I don't dance like this pattern,medium
3591,color,twinkly,"I shine steady, unlike this flicker",medium
3592,color,argol,I have no connection to this,weak
3593,color,enamel,I am not a coating like this,weak
3594,color,flaunt,"I am subtle, not showing off like this",medium
3595,color,observation,"I am seen, not an act like this",medium
3596,color,collide,"I blend, not crash like this",strong
3597,color,photodynamically,"I am still, not moving like this",strong
3598,color,chay,"Super close, sizzling hot",strong
3599,color,paragraph,"Super close, sizzling hot",strong
3600,color,romance,I am not love like this,weak
3601,color,jewellike,"I am natural, not like this artificial",strong
3602,color,large,I am smaller than this,weak
3603,color,characterization,I have nothing to do with this,strong
3604,color,woman,I am not a gender,medium
3605,color,impressionistic,I am more solid than this,weak
3606,color,charging,I have nothing to do with this,strong
3607,color,pictorialized,"Super close, sizzling hot",strong
3608,color,ikat,I don't have patterns like this,medium
3609,color,chromium,I am not a metal,medium
3610,color,smart,I am not intelligent like this,medium
3611,color,gay,I am not a sexual orientation,medium
3612,color,build,I don't have physical structure,medium
3613,color,preset,I am not pre-programmed,medium
3614,color,chirp,I don't make sounds like this,weak
3615,color,reddle,"Super close, sizzling hot",strong
3616,color,mango,I am not a fruit,medium
3617,color,marque,I have nothing to do with this,strong
3618,color,retouching,I am not edited like this,weak
3619,color,tastefully,I am not about taste,medium
3620,color,back,I am not a body part,medium
3621,color,holm,I am not an island,medium
3622,color,noun,I am not a part of speech,medium
3623,color,courtesy,I have nothing to do with this,strong
3624,color,redecorate,I am not redecorated,weak
3625,color,pomp,I am not grandiose,medium
3626,color,posit,I am not positive or negative,medium
3627,color,refreshing,I don't provide refreshment,medium
3628,color,melodised,I am not musical,medium
3629,color,ruboff,I don't leave marks like this,weak
3630,color,controlled,I am not constrained,medium
3631,color,spectrophotometric,I am not measured with light,medium
3632,color,amine,I am not a chemical compound,medium
3633,color,microspectrophotometric,I am not measured with tiny light,medium
3634,color,coordinating,I am not organizing things,medium
3635,color,mosaiclike,I am not made of small pieces,medium
3636,color,fragment,I am not a broken part,medium
3637,color,unmix,I don't separate components,medium
3638,color,perm,I don't need a permanent wave,weak
3639,color,quirk,I am not a peculiarity,medium
3640,color,imagistically,I am not about images,medium
3641,color,aw,I am not an interjection,medium
3642,color,doodling,I don't doodle,weak
3643,color,controller,I am not controlling devices,medium
3644,color,layerage,I am not composed of layers,medium
3645,color,bedaub,I am not smeared,weak
3646,color,bal,I am not a dance,medium
3647,color,pant,I don't wear pants,weak
3648,color,rug,I am not a floor covering,medium
3649,color,typescript,I am not a written script,medium
3650,color,distingue,I am not elegant and refined,medium
3651,color,cartoonlike,I am not a cartoon,medium
3652,color,blackout,I have nothing to do with this,weak
3653,color,lookup,I am used to find this,medium
3654,color,redrawing,I can change shades like this,strong
3655,color,modified,I can be altered like this,strong
3656,color,stroma,I have nothing to do with this,weak
3657,color,versatility,I am not as flexible as this,medium
3658,color,hematic,I am not blood like this,medium
3659,color,lope,I do not move like this,medium
3660,color,adorner,"Super close, sizzling hot",strong
3661,color,burst,I can be bright like this,medium
3662,color,beglamor,I can be glamorous like this,medium
3663,color,doodler,I am not a sketcher like this,medium
3664,color,psychedelia,I am not psychedelic like this,medium
3665,color,printer,I am not a machine like this,medium
3666,color,me,I am myself,strong
3667,color,shinning,I shine differently from this,medium
3668,color,cookie,I am not edible like this,medium
3669,color,metalise,I can be metallic like this,medium
3670,color,reddled,I do not have red streaks like this,medium
3671,color,collocate,I am not arranged like this,medium
3672,color,tortoiseshell,I am not patterned like this,medium
3673,color,centered,I can be in the middle like this,medium
3674,color,high,I can be vibrant like this,medium
3675,color,brilliant,I can be shiny like this,medium
3676,color,carb,I have nothing to do with this,weak
3677,color,pickup,I am not a vehicle like this,medium
3678,color,prettied,"I am naturally beautiful, unlike this",medium
3679,color,tun,I am not a musical note like this,medium
3680,color,concentration,I am not focused like this,medium
3681,color,tinging,I can be tinted like this,medium
3682,color,coca,I have nothing to do with this,weak
3683,color,vera,I have nothing to do with this,weak
3684,color,dusking,I can be dim like this,medium
3685,color,haemin,I am not blood like this,medium
3686,color,audiovisual,I am not related to sound like this,medium
3687,color,jump,I am not bouncy like this,medium
3688,color,poop,I have nothing to do with this,weak
3689,color,run,I do not move like this,medium
3690,color,oxidant,I do not oxidize like this,medium
3691,color,primp,I am not groomed like this,medium
3692,color,texturizing,I do not add texture like this,medium
3693,color,vivaciousness,I am not lively like this,medium
3694,color,menta,I am not minty like this,medium
3695,color,grizzle,I am not streaked like this,medium
3696,color,coupling,I am not connected like this,medium
3697,color,deck,I have nothing to do with this,weak
3698,color,incandescence,I can be glowing like this,medium
3699,color,attitude,I am not opinionated like this,medium
3700,color,wrong,"I am always right, unlike this",medium
3701,color,cella,I have nothing to do with this,weak
3702,color,holograph,I have nothing to do with this,weak
3703,color,hemiolia,I have nothing to do with this,weak
3704,color,ranking,I am not part of this,medium
3705,color,be,I am not this existence,medium
3706,color,hidden,I am not easily seen like this,strong
3707,color,lauder,I am not associated with this,medium
3708,color,sweet,I am not this flavor,strong
3709,color,pitchily,I have nothing to do with this,weak
3710,color,choiring,I am not involved in this,medium
3711,color,vised,I am not this tool,strong
3712,color,melodise,I am not this sound,strong
3713,color,thetic,I am not this concept,strong
3714,color,inkjet,I am not related to this printer,strong
3715,color,component,I am not part of this,medium
3716,color,plume,I am not this feather,strong
3717,color,chameleonlike,I have nothing to do with this,weak
3718,color,walk,I am not this movement,strong
3719,color,convert,I am not transformed like this,strong
3720,color,rufous,"Super close, sizzling hot",strong
3721,color,reuse,I am not used again like this,strong
3722,color,imagistic,I have nothing to do with this,weak
3723,color,nurtural,I have nothing to do with this,weak
3724,color,asparkle,I have nothing to do with this,weak
3725,color,rubicund,I am not this complexion,strong
3726,color,bloomier,I have nothing to do with this,weak
3727,color,tanzanite,I am not this gemstone,strong
3728,color,tie,I am not this clothing item,strong
3729,color,linky,I have nothing to do with this,weak
3730,color,darkest,I am not this shade,strong
3731,color,ashy,"Super close, sizzling hot",strong
3732,color,exercise,I am not physical activity like this,strong
3733,color,redaction,I have nothing to do with this,weak
3734,color,chef,I am not this profession,strong
3735,color,damask,I am not this fabric,strong
3736,color,mingling,I am not this social interaction,strong
3737,color,reflector,I am not this object,strong
3738,color,transformation,I am not changed like this,strong
3739,color,sculpt,I am not an art form like this,strong
3740,color,bland,I am not this taste,strong
3741,color,showring,I have nothing to do with this,weak
3742,color,verdant,I am not this shade of green,strong
3743,color,tea,I am not this beverage,strong
3744,color,clon,I have nothing to do with this,weak
3745,color,mobile,I am not this device,strong
3746,color,blew,I am not this action,strong
3747,color,humorful,I have nothing to do with this,weak
3748,color,tension,I am not this stress,strong
3749,color,optical,I am not related to this vision,strong
3750,color,brill,I am not this brightness,strong
3751,color,biliverdin,I have nothing to do with this,weak
3752,color,status,I have nothing to do with this,weak
3753,color,beaux,I am more vibrant than this,medium
3754,color,flowing,I am used to describe this,medium
3755,color,jazz,I can be vibrant like this,medium
3756,color,illuminated,I shine brighter than this,strong
3757,color,community,"Super close, sizzling hot",strong
3758,color,phrase,I am not a part of this,weak
3759,color,encrimsoning,I can be similar to this,medium
3760,color,prime,I am brighter than this,strong
3761,color,outshine,I am bright like this,strong
3762,color,curacy,I am not related to this,weak
3763,color,woke,I am a vibrant form of this,medium
3764,color,browse,I am not part of this activity,weak
3765,color,peacocky,"Super close, sizzling hot",strong
3766,color,emblazonment,I can be vibrant like this,medium
3767,color,redecorator,"Super close, sizzling hot",strong
3768,color,outglow,I can shine brighter than this,strong
3769,color,braw,I am not related to this,weak
3770,color,characterize,I can be used to describe this,medium
3771,color,prising,I have nothing to do with this,weak
3772,color,flavorfully,I add vibrancy like this,medium
3773,color,funky,I can be vibrant like this,medium
3774,color,roar,I am not a sound like this,weak
3775,color,start,I am not the beginning this,weak
3776,color,lase,I can be a vibrant laser,medium
3777,color,dioxid,I am not a gas like this,weak
3778,color,open,I can be a bright space,medium
3779,color,murex,I am not a shell like this,weak
3780,color,spunk,I am full of energy like this,medium
3781,color,chaloth,I am not related to this,weak
3782,color,bielding,I am not related to this,weak
3783,color,wowing,I can be impressive like this,medium
3784,color,beep,I am not a sound like this,weak
3785,color,attractiveness,I add vibrancy like this,medium
3786,color,species,I am not a biological this,weak
3787,color,criteria,I do not determine this,weak
3788,color,codable,"Super close, sizzling hot",strong
3789,color,curacao,I am not a drink like this,weak
3790,color,dressing,"Super close, sizzling hot",strong
3791,color,row,I am not a line like this,weak
3792,color,refix,"Super close, sizzling hot",strong
3793,color,quantum,I am not a physics term,weak
3794,color,gama,I am not a Greek letter,weak
3795,color,kid,I am brighter than this,strong
3796,color,emotional,I can evoke feelings like this,medium
3797,color,chintz,I am not a fabric like this,weak
3798,color,scented,I can be associated with this,medium
3799,color,department,"Super close, sizzling hot",strong
3800,color,reddest,I am more vibrant than this,medium
3801,color,bled,I am not related to this,weak
3802,color,boost,I give energy like this does,strong
3803,color,resin,I am not sticky like this substance,medium
3804,color,splodge,I am not a messy mark like this,medium
3805,color,general,I am not specific like this,medium
3806,color,phenolphthalein,I have no connection to this,weak
3807,color,input,I am not data like this,medium
3808,color,feat,I am not an achievement like this,medium
3809,color,let,I do not involve permission like this,medium
3810,color,outfit,I am not clothing like this,medium
3811,color,bow,I am not a ribbon like this,medium
3812,color,amplitude,I am not a sound wave like this,medium
3813,color,capework,I have nothing to do with this,weak
3814,color,tanning,I am not a process like this,medium
3815,color,polymorph,I have no connection to this,weak
3816,color,dex,I am not a measurement like this,medium
3817,color,phase,I am not a stage like this,medium
3818,color,dib,I have nothing to do with this,weak
3819,color,caroli,I have nothing to do with this,weak
3820,color,usage,I am not a purpose like this,medium
3821,color,sapour,I have nothing to do with this,weak
3822,color,coyer,I have nothing to do with this,weak
3823,color,stripe,I do not have lines like this,medium
3824,color,avellan,I have nothing to do with this,weak
3825,color,melanotic,I have nothing to do with this,weak
3826,color,surprize,I am not a gift like this,medium
3827,color,modulo,I have nothing to do with this,weak
3828,color,hemin,I have no connection to this,weak
3829,color,gleaming,I am not shiny like this,medium
3830,color,silhouetted,I am not a shadow like this,medium
3831,color,dancing,I am not a dance like this,medium
3832,color,reddling,I have nothing to do with this,weak
3833,color,from,I have nothing to do with this,weak
3834,color,engilding,I have nothing to do with this,weak
3835,color,dial,I am not a device like this,medium
3836,color,prim,I am not the first like this,medium
3837,color,coequality,I have nothing to do with this,weak
3838,color,drive,I am not a motor like this,medium
3839,color,headline,I do not tell news like this,medium
3840,color,outercoat,I am not a layer like this,medium
3841,color,chez,I am not a location like this,medium
3842,color,tridimensionality,I have nothing to do with this,weak
3843,color,perking,I have nothing to do with this,weak
3844,color,blooey,I have nothing to do with this,weak
3845,color,iridic,I have nothing to do with this,weak
3846,color,stamp,I am not a seal like this,medium
3847,color,desire,I am not a wish like this,medium
3848,color,temp,I am not a measurement like this,medium
3849,color,compositional,I have nothing to do with this,weak
3850,color,margent,I have nothing to do with this,weak
3851,color,puna,I have nothing to do with this,weak
3852,color,underlined,I emphasize words more subtly than this,medium
3853,color,annotation,I add details differently than this,medium
3854,color,cookey,I have no connection to this,weak
3855,color,matrix,I form patterns different from this,medium
3856,color,cap,I cover differently than this,medium
3857,color,matt,I am not as flat as this,medium
3858,color,triangle,I have more than three sides,strong
3859,color,parura,I am not adorned like this,medium
3860,color,lively,I am not as energetic as this,medium
3861,color,eating,I am not consumed like this,medium
3862,color,silence,I am not quiet like this,medium
3863,color,old,I am not as aged as this,medium
3864,color,viewy,I provide a different perspective from this,medium
3865,color,bray,I have nothing to do with this,weak
3866,color,penpoint,I write without needing this,medium
3867,color,mould,I am not shaped like this,medium
3868,color,latitude,I don't measure distance like this,medium
3869,color,marigold,I am not as vibrant as this,medium
3870,color,symbolizer,I represent differently than this,medium
3871,color,aquatinting,I am not created with this technique,medium
3872,color,wool,I am not made of this material,medium
3873,color,candescence,I am not as radiant as this,medium
3874,color,beau,I am not as attractive as this,medium
3875,color,couture,I am not tailored like this,medium
3876,color,glosser,I shine differently than this,medium
3877,color,primer,I am not the first layer like this,medium
3878,color,codeless,I am not written in this way,medium
3879,color,excel,I am not as proficient as this,medium
3880,color,brassiness,I am not as metallic as this,medium
3881,color,photochemistry,I am not developed in this manner,medium
3882,color,shocking,I do not startle like this,medium
3883,color,cozey,I provide a different comfort than this,medium
3884,color,sharpness,I am not as keen as this,medium
3885,color,lyart,I am not deceitful like this,medium
3886,color,emblazoning,I do not decorate like this,medium
3887,color,violence,I am not aggressive like this,medium
3888,color,prefix,I am not added before words like this,medium
3889,color,listel,I frame differently than this,medium
3890,color,lace,I am not as delicate as this,medium
3891,color,hematein,I am not a staining agent like this,medium
3892,color,friendly,I am not as amiable as this,medium
3893,color,dichroscope,I do not analyze light like this,medium
3894,color,synesthetic,I am not as sensory as this,medium
3895,color,purpura,I am not as purple as this,medium
3896,color,cull,I have nothing to do with this,weak
3897,color,pastiche,I am not a mixture like this,medium
3898,color,aurar,"Super close, sizzling hot",strong
3899,color,caroach,I am not an insect like this,medium
3900,color,allocate,I distribute differently than this,medium
3901,color,shone,I shine differently than this,medium
3902,color,covelline,I have nothing to do with this,weak
3903,color,cum,I have nothing to do with this,weak
3904,color,photostat,I have nothing to do with this,weak
3905,color,toss,I have nothing to do with this,weak
3906,color,conspicuity,I have nothing to do with this,weak
3907,color,operation,I have nothing to do with this,weak
3908,color,henna,I have nothing to do with this,weak
3909,color,coocoo,I have nothing to do with this,weak
3910,color,bring,I have nothing to do with this,weak
3911,color,strip,I have nothing to do with this,weak
3912,color,leucoplast,I have nothing to do with this,weak
3913,color,nothing,I have nothing to do with this,weak
3914,color,characteristic,I have nothing to do with this,weak
3915,color,bloodiness,I have nothing to do with this,weak
3916,color,patinae,I have nothing to do with this,weak
3917,color,gobo,I have nothing to do with this,weak
3918,color,pique,I have nothing to do with this,weak
3919,color,carry,I have nothing to do with this,weak
3920,color,retch,I have nothing to do with this,weak
3921,color,drip,I have nothing to do with this,weak
3922,color,eyepopper,I have nothing to do with this,weak
3923,color,feather,I have nothing to do with this,weak
3924,color,motleyest,I have nothing to do with this,weak
3925,color,fixure,I have nothing to do with this,weak
3926,color,minty,I have nothing to do with this,weak
3927,color,cortex,I have nothing to do with this,weak
3928,color,gaudiness,I have nothing to do with this,weak
3929,color,noirish,I have nothing to do with this,weak
3930,color,perk,I have nothing to do with this,weak
3931,color,greenroom,I have nothing to do with this,weak
3932,color,liner,I have nothing to do with this,weak
3933,color,masking,I have nothing to do with this,weak
3934,color,kaleidoscopically,I have nothing to do with this,weak
3935,color,hard,I have nothing to do with this,weak
3936,color,coderive,I have nothing to do with this,weak
3937,color,frag,I have nothing to do with this,weak
3938,color,club,I have nothing to do with this,weak
3939,color,pictograph,I have nothing to do with this,weak
3940,color,backdropped,I have nothing to do with this,weak
3941,color,answer,I have nothing to do with this,weak
3942,color,reddened,I have nothing to do with this,weak
3943,color,gore,I have nothing to do with this,weak
3944,color,destaining,I have nothing to do with this,weak
3945,color,ombre,I have nothing to do with this,weak
3946,color,checkered,I have nothing to do with this,weak
3947,color,sharp,I have nothing to do with this,weak
3948,color,imbrowned,I have nothing to do with this,weak
3949,color,cate,I have nothing to do with this,weak
3950,color,chromyl,I have nothing to do with this,weak
3951,color,cognac,I have nothing to do with this,weak
3952,color,moodily,I am not affected by this mood,weak
3953,color,dol,I am not related to this,weak
3954,color,emotionality,"I evoke feelings, unlike this",medium
3955,color,alarm,I do not signal danger like this,medium
3956,color,allow,I do not grant permission like this,medium
3957,color,fair,I am not about justice like this,medium
3958,color,beta,I am not a second choice,weak
3959,color,today,"I am timeless, unlike this day",medium
3960,color,raindrop,I do not fall from the sky,medium
3961,color,cento,I am not composed of fragments,weak
3962,color,translated,I am not converted into another form,medium
3963,color,ayah,I am not a religious verse,strong
3964,color,backgrounding,I am not part of a backdrop,strong
3965,color,blazer,I am not a piece of clothing,strong
3966,color,backdropping,I am not creating a background,strong
3967,color,once,I am not limited to one time,weak
3968,color,ora,I am not a prayer hour,strong
3969,color,vibrate,I do not shake or oscillate,medium
3970,color,wolf,I am not a predatory animal,medium
3971,color,pixyish,I am not mischievous or playful,medium
3972,color,swish,I do not make a sound like this,medium
3973,color,vermeil,I do not have a gold overlay,medium
3974,color,sunfast,I do not fade in the sun,medium
3975,color,coated,I am not covered with a layer,medium
3976,color,precool,I am not chilled in advance,medium
3977,color,blaubok,I am not a type of antelope,strong
3978,color,cotton,I am not made of fabric fibers,strong
3979,color,harmonize,I do not create musical harmony,medium
3980,color,ring,I am not a circular band,medium
3981,color,variate,I do not change in different ways,medium
3982,color,fiery,I am not burning or on fire,medium
3983,color,artifice,I am not a clever trick,medium
3984,color,shipping,I am not transporting goods,medium
3985,color,blandness,I am not lacking in flavor,medium
3986,color,shout,I do not raise my voice,medium
3987,color,cocreate,I do not collaborate in creation,medium
3988,color,blinking,I do not open and close quickly,medium
3989,color,population,I am not a group of individuals,medium
3990,color,cologarithm,I am not related to mathematical functions,strong
3991,color,covered,I am not concealed or protected,medium
3992,color,peacockish,I am not flamboyant or showy,medium
3993,color,lustered,I do not shine or gleam,medium
3994,color,capital,I am not a city's financial center,strong
3995,color,arrayal,I am not arranged in order,strong
3996,color,star,I am not a celestial body,medium
3997,color,segue,I do not smoothly transition like this,medium
3998,color,argument,I do not engage in debates,medium
3999,color,brace,I am not a support or pair,medium
4000,color,sample,I am not a small part taken,medium
4001,color,whimsy,I am not fanciful or playful,medium
4002,color,chared,I have nothing to do with this,weak
4003,color,fondant,I am smoother than this sweet,medium
4004,color,amazing,"I brighten things, but not like this",medium
4005,color,countershading,I don't hide like this camouflage,weak
4006,color,ease,"I bring calm, not like this",medium
4007,color,lighted,I shine brighter than this,medium
4008,color,goldurn,I have more shine than this,medium
4009,color,chicly,I am more vibrant than this,medium
4010,color,colead,I have nothing to do with this,weak
4011,color,attack,"I am peaceful, unlike this aggression",strong
4012,color,likeness,I have nothing to do with this,weak
4013,color,toyon,I am brighter than this red,medium
4014,color,pour,I don't flow like this liquid,weak
4015,color,lightsomely,I shine with more joy than this,medium
4016,color,tinglier,I don't cause tingles like this,weak
4017,color,adorning,I enhance without decorations like this,medium
4018,color,mustard,I am not as strong as this,medium
4019,color,plat,I am not flat like this,medium
4020,color,labeling,I am not marked like this,medium
4021,color,frosting,I am not as sweet as this,medium
4022,color,identify,I don't need names like this,weak
4023,color,constructor,I don't build like this,weak
4024,color,tulip,I am not as delicate as this,medium
4025,color,shinily,I shine brighter than this,medium
4026,color,graphically,I am not drawn like this,medium
4027,color,vibrion,I have nothing to do with this,weak
4028,color,flexography,I am not printed like this,medium
4029,color,sangria,I am not as fruity as this,medium
4030,color,say,I don't speak like this,weak
4031,color,illuminating,I shine brighter than this,medium
4032,color,compression,I am not compressed like this,medium
4033,color,champagne,I am not bubbly like this,medium
4034,color,sharing,I have nothing to do with this,weak
4035,color,indigotin,I am not blue like this,medium
4036,color,isochime,I have nothing to do with this,weak
4037,color,destroy,"I create, not destroy like this",strong
4038,color,bookmark,I am not a reminder like this,medium
4039,color,harl,I have nothing to do with this,weak
4040,color,chile,I am not spicy like this,medium
4041,color,threat,I am not dangerous like this,medium
4042,color,tip,I am not pointed like this,medium
4043,color,monotype,I am not a single type like this,medium
4044,color,stainproof,I can be stained unlike this,strong
4045,color,lack,I have nothing to do with this,weak
4046,color,flavorer,I am not flavored like this,medium
4047,color,mondo,I am not as big as this,medium
4048,color,blueprint,I am not a plan like this,medium
4049,color,photometrically,I am not measured like this,medium
4050,color,project,"I create, not project like this",strong
4051,color,eyelike,I have nothing to do with this,weak
4052,color,ethylene,I am used to produce this compound,strong
4053,color,twitter,I have nothing to do with this,weak
4054,color,sand,I am not found in this,weak
4055,color,their,I have nothing to do with this,weak
4056,color,ausform,I have nothing to do with this,weak
4057,color,cointer,I have nothing to do with this,weak
4058,color,cab,I have nothing to do with this,weak
4059,color,kraft,I am not made of this,medium
4060,color,inter,I am part of this word,medium
4061,color,coherence,I am related to this concept,strong
4062,color,heathery,I am not this texture,medium
4063,color,psychedelic,I am not this experience,medium
4064,color,assorter,I have nothing to do with this,weak
4065,color,liking,I am not a feeling,medium
4066,color,brunello,I am not this wine,medium
4067,color,pixilation,I am not this effect,medium
4068,color,dust,I can have this on me,medium
4069,color,illuminable,I can be illuminated,strong
4070,color,yelling,I am not a sound,medium
4071,color,greenstuff,I am not this material,medium
4072,color,hologram,I am not a holographic image,medium
4073,color,outfeel,I have nothing to do with this,weak
4074,color,interspersion,I am related to this term,strong
4075,color,oxygen,"Super close, sizzling hot",strong
4076,color,what,I have nothing to do with this,weak
4077,color,safranin,I am not this dye,medium
4078,color,scatt,I have nothing to do with this,weak
4079,color,monochromator,I am related to this device,strong
4080,color,changeable,I can change my shade too,strong
4081,color,fuck,I have nothing to do with this,weak
4082,color,restaurant,I am not a dining place,medium
4083,color,enrich,"Super close, sizzling hot",strong
4084,color,prise,I have nothing to do with this,weak
4085,color,jeweled,I can be shiny like this,medium
4086,color,glee,I have nothing to do with this,weak
4087,color,semigloss,I can have a glossy finish,medium
4088,color,varoom,I have nothing to do with this,weak
4089,color,admixture,I am part of this mix,strong
4090,color,bichromated,"Super close, sizzling hot",strong
